,Type,Name,Year,Director,Address,Lat,Lon,Borough,Number_of_Complaints,Style,Material,Use,Nbhd,Imdb,Tel,Url,System,Categories,Phone,Rating,Price,Zip_code
3498,restaurant,SANTA PANZA,NA,NA,1079 BROADWAY,40.6947,-73.93068,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bars,3474139695,4.5,$$,11221
3499,restaurant,SANTA SALSA,NA,NA,234 STARR ST,40.70554296,-73.92255392,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tacos,3473652710,4,$,11237
3500,restaurant,SANTA SALSA,NA,NA,234 STARR ST,40.705553,-73.922343,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Venezuelan,3473652710,4.5,$,11237
3501,restaurant,SANTINA,NA,NA,820 WASHINGTON ST,40.739618,-74.008443,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2122543000,3.5,$$$,10014
3502,restaurant,SANTO DOMINGO RESTAURANT,NA,NA,862 NEW LOTS AVE,40.66775,-73.87888,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dominican,6466453636,4,$,11208
3503,restaurant,SANU RIA MALAYSIAN & INDONESIAN CUISINE,NA,NA,18 DOYERS ST,40.7147,-73.9980099,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indonesian,2122332288,3.5,$,10013
3504,restaurant,SAPORE DI ITALIA,NA,NA,245 HARMAN ST,40.698984,-73.920113,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,7184848008,3.5,$$,11237
3505,restaurant,SAPORI,NA,NA,105 MULBERRY ST,40.71735,-73.99855,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2127142113,4.5,$$,10013
3506,restaurant,SAPPORO,NA,NA,7812 3RD AVE,40.629027,-74.029126,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,7187483323,4,$$,11209
3507,restaurant,SAPPORO ICHIBAN,NA,NA,622 MANHATTAN AVE,40.72365,-73.95057,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,7183899697,4,$$,11222
3508,restaurant,SASHIMI EXPRESS II,NA,NA,223 E 74TH ST,40.77068,-73.95849,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,9293235099,4.5,$,10021
3509,restaurant,SASHIMI RAMEN EXPRESS,NA,NA,341 E 78TH ST,40.772239,-73.954052,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,9292319376,4.5,$,10075
3510,restaurant,SAUCE PIZZERIA III,NA,NA,315 5TH AVE,40.7468603,-73.9851724,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,9172615477,4,$$,10016
3511,restaurant,SAUCE PIZZERIA III,NA,NA,315 5TH AVE,40.7469,-73.98519,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,9172615477,3.5,$$,10016
3512,restaurant,SAUCE PIZZERIA III,NA,NA,315 5TH AVE,40.67289,-73.98303,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tex-Mex,9172615477,3.5,$$,11215
3513,restaurant,SAUVAGE,NA,NA,905 LORIMER ST,40.72356122,-73.95185268,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,American (New),7184866816,3.5,$$,11222
3514,restaurant,SAWASDE THAI COOKING,NA,NA,359 MCDONALD AVE,40.6454,-73.97973,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,7184360589,4,$$,11218
3515,restaurant,SAYORI,NA,NA,1440 FOREST AVE,40.62422,-74.13663,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,7184425050,4,$$,10302
3516,restaurant,SCALINO G.P.,NA,NA,659 MANHATTAN AVE,40.7244699,-73.95151,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,7183898600,4.5,$$,11222
3517,restaurant,SCAMPI,NA,NA,30 W 18TH ST,40.73902,-73.99358,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2128882171,4,$$$,10011
3518,restaurant,SEA THAI,NA,NA,114 N 6TH ST,40.71807,-73.960044,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,7183848850,3.5,$$,11211
3519,restaurant,SEAMORE'S,NA,NA,600 11TH AVE,40.76234,-73.99695,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,5165577197,4,$$,10036
3520,restaurant,SEAMORE'S,NA,NA,600 11TH AVE,40.76234,-73.99695,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,5165577197,4,$$$,10036
3521,restaurant,SEAMORE'S,NA,NA,600 11TH AVE,40.7624395,-73.9971462,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food Court,5165577197,4,$$,10036
3522,restaurant,SEAPORT BUFFET,NA,NA,2027 EMMONS AVE,40.584138,-73.946639,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,American (New),7183683388,4,$$$,11235
3523,restaurant,SEAPORT BUFFET,NA,NA,2027 EMMONS AVE,40.58413696,-73.94664001,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Creperies,7183683388,3.5,$$$,11235
3524,restaurant,SEAPORT BUFFET,NA,NA,2027 EMMONS AVE,40.584138,-73.946639,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Russian,7183683388,3.5,$$$$,11235
3525,restaurant,SEIS VECINOS RESTAURANT,NA,NA,640 PROSPECT AVE,40.81533,-73.90317,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,7186848604,4,$$,10455
3526,restaurant,SELAMAT PAGI,NA,NA,152 DRIGGS AVE,40.723255,-73.944633,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indonesian,7187011630,4,$$,11222
3527,restaurant,SELENA ROSA MEXICANA,NA,NA,1712 2ND AVE,40.779514,-73.950149,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2127224242,3.5,$$,10128
3528,restaurant,SENN THAI COMFORT FOOD,NA,NA,452 AMSTERDAM AVE,40.78499456,-73.97701031,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,2125417755,4,$$,10024
3529,restaurant,SENSAKANA,NA,NA,28 W 44TH ST,40.75533,-73.9815,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,2122219560,4,$$$,10036
3530,restaurant,SENYA,NA,NA,109 1ST AVE,40.72690155,-73.98610112,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,6463353160,4,$$$,10003
3531,restaurant,SENZA GLUTEN,NA,NA,206 SULLIVAN ST,40.72909111,-74.00036992,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2124757775,4.5,$$,10012
3532,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.74761,-73.98631,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,2129671678,3,$$,10001
3533,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.74754531,-73.98628433,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2129671678,3.5,$$,10001
3534,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.74761,-73.98631,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicken Wings,2129671678,4,$$,10001
3535,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.7478744,-73.9867252,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2129671678,3,$,10001
3536,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.74787903,-73.98751831,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2129671678,3,$,10016
3537,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.74761,-73.98631,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2129671678,3.5,$,10001
3538,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.7476713,-73.9862736,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2129671678,3.5,$,10001
3539,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.747682,-73.986108,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2129671678,2.5,$$,10001
3540,restaurant,SEOUL,NA,NA,11 W 32ND ST,40.74761,-73.98631,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food Court,2129671678,3.5,$,10001
3541,restaurant,SERAFINA LUDLOW,NA,NA,98 RIVINGTON ST,40.72020589,-73.98849931,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2123589800,3.5,$$,10002
3542,restaurant,SERENA'S,NA,NA,1268 2ND AVE,40.7652988,-73.9609017,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wine Bars,2129882646,4,$$,10065
3543,restaurant,SET L.E.S.,NA,NA,127 LUDLOW ST,40.71984954,-73.98853183,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bars,2129828225,4,$$,10002
3544,restaurant,SETAGAYA,NA,NA,280 BEDFORD AVE,40.7147999,-73.96115,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramen,7182188508,4,$$,11249
3545,restaurant,SFOGLIA RESTAURANT,NA,NA,1402 LEXINGTON AVE,40.783535,-73.952719,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2128311402,4,$$$,10128
3546,restaurant,SHAKE SHACK,NA,NA,2655 RICHMOND AVE,40.58185759,-74.16522116,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pan Asian,6467470038,3.5,$$,10314
3547,restaurant,SHALOM JAPAN,NA,NA,310 S 4TH ST,40.7091679,-73.9558028,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,7183884012,4,$$$,11211
3548,restaurant,SHANGHAI 21,NA,NA,21 MOTT ST,40.7144199,-73.99889,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shanghainese,2127666311,4,$$,10013
3549,restaurant,SHANGHAI 21,NA,NA,21 MOTT ST,40.71443,-73.99889,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seafood,2127666311,3.5,$$,10013
3550,restaurant,SHANGHAI ASIAN CUISINE,NA,NA,14A ELIZABETH ST,40.7159077,-73.997383,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shanghainese,2129645640,4,$$,10013
3551,restaurant,SHANGHAI DUMPLING,NA,NA,100 MOTT ST,40.71726,-73.99721,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shanghainese,2129663988,3.5,$,10013
3552,restaurant,SHANGHAI MONG,NA,NA,30 W 32ND ST,40.747612,-73.98715973,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2126296450,3,$$,10001
3553,restaurant,SHANGRI-LA VEGETARIAN,NA,NA,7400 3RD AVE,40.6321,-74.0277,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asian Fusion,7188360333,4.5,$$,11209
3554,restaurant,SHEN ZHOU RESTAURANT,NA,NA,159 WILSON AVE,40.70026,-73.92469,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7188211172,3,$,11237
3555,restaurant,SHI MIAODAO,NA,NA,33 SAINT MARKS PL,40.72904,-73.9881,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,9179167373,4.5,$$,10003
3556,restaurant,SHIMA SUSHI,NA,NA,226 E 51ST ST,40.75588,-73.96926,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asian Fusion,2128298000,3.5,$$,10022
3557,restaurant,SHINAGAWA,NA,NA,157 E 33RD ST,40.74549,-73.97935,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,9172616635,5,$$,10016
3558,restaurant,SHINSEN,NA,NA,44 BOWERY,40.71558,-73.9967,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,3476885404,4,$$,10013
3559,restaurant,SHIRO OF JAPAN,NA,NA,8040 COOPER AVE,40.70941444,-73.86840681,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,7183268704,3.5,$$,11385
3560,restaurant,SHOCHU AND TAPAS AYA,NA,NA,247 E 50TH ST,40.7552229,-73.96913283,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,2127150770,3.5,$$,10022
3561,restaurant,SHOJI,NA,NA,69 LEONARD ST,40.71772,-74.00538,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,9179124864,4.5,$$$$,10013
3562,restaurant,SHOKUDO,NA,NA,658 9TH AVE,40.76076714,-73.99054811,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,2129569415,3.5,$$,10036
3563,restaurant,SHORTY TANG NOODLE SHOP,NA,NA,98 8TH AVE,40.7402299,-74.0019499,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Noodles,6468961883,3.5,$$,10011
3564,restaurant,SHU HAN JU AUTHENTIC CHINESE CUISINE,NA,NA,465 6TH AVE,40.73558,-73.99843,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,2124288800,3.5,$$,10011
3565,restaurant,SHU JIAO FUZHOUESE CUISINE,NA,NA,118 ELDRIDGE ST,40.71842904,-73.9916929,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,2126252532,4.5,$,10002
3566,restaurant,SHUKO,NA,NA,47 E 12TH ST,40.73342694,-73.99146357,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,6465103673,4,$$$$,10003
3567,restaurant,SHUNDECK RESTAURANT,NA,NA,2332 86TH ST,40.599873,-73.990883,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cantonese,9179339779,2.5,$$,11214
3568,restaurant,SHURAKU,NA,NA,47 8TH AVE,40.73854466,-74.00400711,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,2128070010,4.5,$$$,10014
3569,restaurant,SIDE PARK CAFE,NA,NA,1230 5TH AVE,40.7931,-73.95137,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2126607150,3.5,$$,10029
3570,restaurant,SIDO FALAFEL & MORE,NA,NA,267 COLUMBUS AVE,40.77768444,-73.97845698,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Coffee & Tea,2124962803,4,$$,10023
3571,restaurant,SIENA CAFE,NA,NA,1580 3RD AVE,40.78073,-73.953,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2124105588,3.5,$$,10128
3572,restaurant,SIGIRI NY,NA,NA,91 1ST AVE,40.726261,-73.986686,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sri Lankan,2126149333,4,$$,10003
3573,restaurant,SIGNATURE RESTAURANT,NA,NA,2007 EMMONS AVE,40.58389668,-73.9478863,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steakhouses,7183324040,3,$$$,11235
3574,restaurant,SILKY KITCHEN,NA,NA,137 E 13TH ST,40.73297,-73.98829,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,6468500635,4.5,$,10003
3575,restaurant,SILO CAFE,NA,NA,805 3RD AVE,40.75537,-73.97054,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,2128887456,4,$$$,10022
3576,restaurant,SILO CAFE,NA,NA,805 3RD AVE,40.75537,-73.97054,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2128887456,3.5,$,10022
3577,restaurant,SILVER RICE,NA,NA,575A FLATBUSH AVE,40.65974108,-73.96042395,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,3477899874,4.5,$$,11225
3578,restaurant,SILVERSTEIN PROPERTIES,NA,NA,120 BROADWAY,40.7078814,-74.01020267,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Seafood,2127272424,4,$$$,10271
3579,restaurant,SIMPLE,NA,NA,311 ATLANTIC AVE,40.68852,-73.98817,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poke,7187971088,5,$$,11201
3580,restaurant,SIMPLE ASIA,NA,NA,2333 HYLAN BLVD,40.57465308,-74.10583388,Staten Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,9178252981,4.5,$$,10306
3581,restaurant,SINGAS FAMOUS PIZZA,NA,NA,4202 NORTHERN BLVD,40.7522769,-73.9212728,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,7183927724,3.5,$$,11101
3582,restaurant,SINIGUAL,NA,NA,640 3RD AVE,40.7503162,-73.97507334,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2122860250,3.5,$$,10017
3583,restaurant,SIP UNWINE,NA,NA,1197 FLATBUSH AVE,40.64101,-73.95592,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wine Bars,7185766424,4,$$,11226
3584,restaurant,SIRI THAI,NA,NA,641 10TH AVE,40.76185906,-73.99409205,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,2122454601,4,$$,10036
3585,restaurant,SIRI THAI,NA,NA,641 10TH AVE,40.7618613,-73.99404219,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chicken Wings,2122454601,4,$$,10036
3586,restaurant,SIX EIGHT NINE,NA,NA,689 WASHINGTON AVE,40.67668215,-73.96348706,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,3474420443,4,$$,11238
3587,restaurant,SIX HAPPINESS,NA,NA,1413 2ND AVE,40.77000427,-73.95782471,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,9176824778,3,$,10021
3588,restaurant,SIX HAPPINESS TO GO,NA,NA,711 2ND AVE,40.74762304,-73.97409069,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,2129730885,4,$,10016
3589,restaurant,SKINNYPIZZA,NA,NA,225 LIBERTY ST,40.71264629,-74.01601105,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,7187786392,3,$$,10281
3590,restaurant,SKINNYPIZZA,NA,NA,225 LIBERTY ST,40.712708,-74.015919,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,7187786392,5,$$$$,10281
3591,restaurant,SKINNYPIZZA,NA,NA,225 LIBERTY ST,40.71264736,-74.01577846,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,7187786392,3.5,$$,10281
3592,restaurant,SKINNYPIZZA,NA,NA,225 LIBERTY ST,40.712455,-74.015304,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,7187786392,3,$$$,10281
3593,restaurant,SKINNYPIZZA,NA,NA,225 LIBERTY ST,40.712338,-74.01588,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,7187786392,4,$$,10281
3594,restaurant,SKINNYPIZZA,NA,NA,225 LIBERTY ST,40.712455,-74.015304,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,7187786392,3,$$,10286
3595,restaurant,SKINNYPIZZA,NA,NA,225 LIBERTY ST,40.712693,-74.015839,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,7187786392,3.5,$$,10281
3596,restaurant,SKY CAFE,NA,NA,8620 WHITNEY AVE,40.7419,-73.87838,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indonesian,6462671767,4,$,11373
3597,restaurant,SKY ICE 9TH ST,NA,NA,437 5TH AVE,40.6693611,-73.9859161,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,3478895532,3.5,$$,11215
3598,restaurant,SKY55 BAR AND GRILL,NA,NA,55 WATER ST,40.703415,-73.991409,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,6465906556,3.5,$$$,11201
3599,restaurant,SKY55 BAR AND GRILL,NA,NA,55 WATER ST,40.703799,-73.992343,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,6465906556,4,$$$,11201
3600,restaurant,SLOW LORIS,NA,NA,556 FLATBUSH AVE,40.6601311,-73.9607934,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,3479247758,4,$$,11225
3601,restaurant,SMILEY BAGEL & GRILL,NA,NA,844 2ND AVE,40.75161,-73.97069,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,9172616055,3.5,$$,10017
3602,restaurant,SNACK BAR,NA,NA,679 RIVERSIDE DR,40.82729244,-73.9553675,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2122341023,2.5,$$,10031
3603,restaurant,SNOWFOX,NA,NA,24 E 23RD ST,40.74056,-73.98799,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,6469983030,3.5,$$,10010
3604,restaurant,SOBA NOODLE AZUMA,NA,NA,251 W 55TH ST,40.76526,-73.9832,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,9172620540,4,$$,10019
3605,restaurant,SOBA NOODLE AZUMA,NA,NA,251 W 55TH ST,40.765375,-73.983114,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,9172620540,4,$$$,10019
3606,restaurant,SOBA TOTTO,NA,NA,211 E 43RD ST,40.7516467,-73.97294893,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,2125578200,4,$$$,10017
3607,restaurant,SOBA TOTTO,NA,NA,211 E 43RD ST,40.75122,-73.97317,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,2125578200,4,$$,10017
3608,restaurant,SOCIETE GENERAL,NA,NA,245 PARK AVE,40.75511915,-73.9748699,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food Trucks,2122787999,4.5,$$,10167
3609,restaurant,SOCIETE GENERALE CAFETERIA,NA,NA,245 PARK AVE,40.75511915,-73.9748699,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food Trucks,2122787999,4.5,$$,10167
3610,restaurant,SOFIA MEXICAN RESTAURANT,NA,NA,187 SUYDAM ST,40.7000869,-73.9257427,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mexican,3476662592,4,$,11221
3611,restaurant,SOFIA WINE BAR,NA,NA,242 E 50TH ST,40.75502,-73.96913,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2128888660,4,$$,10022
3612,restaurant,SOFRITO,NA,NA,679 RIVERSIDE DR,40.82729244,-73.9553675,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Latin American,2127545999,2.5,$$,10031
3613,restaurant,SOHO RAMEN,NA,NA,227 SULLIVAN ST,40.7296503,-73.9995577,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinese,2123538888,3.5,$,10012
3614,restaurant,SOHO RAMEN,NA,NA,227 SULLIVAN ST,40.72959,-73.99944,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vegetarian,2123538888,4,$$,10012
3615,restaurant,SOHO THAI,NA,NA,141 GRAND ST,40.720078,-73.999641,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,2129668916,3.5,$$,10013
3616,restaurant,SOIGNE,NA,NA,486 6TH AVE,40.66643,-73.98545,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,French,7183694814,4,$$$,11215
3617,restaurant,SOJU HAUS,NA,NA,315 5TH AVE,40.7468603,-73.9851724,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2122132177,4,$$,10016
3618,restaurant,SOJU HAUS,NA,NA,315 5TH AVE,40.7469,-73.98519,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,2122132177,3.5,$$,10016
3619,restaurant,SOJU HAUS,NA,NA,315 5TH AVE,40.67289,-73.98303,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tex-Mex,2122132177,3.5,$$,11215
3620,restaurant,SOLA PASTA BAR,NA,NA,330 W BROADWAY,40.72229,-74.00403,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,6463015372,4,$$,10013
3621,restaurant,SOLE BISTRO ITALIANO,NA,NA,2014 BROADWAY,40.77582,-73.98188,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italian,2127241400,4,$$,10023
3622,restaurant,SOM BO,NA,NA,143 8TH AVE,40.74192,-74.00136,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asian Fusion,9173856399,4,$$,10011
3623,restaurant,SOMM TIME A WINE BAR,NA,NA,959 2ND AVE,40.75544,-73.96836,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wine Bars,2128887404,4.5,$$,10022
3624,restaurant,SOMPONG THAI,NA,NA,3709 83RD ST,40.7495483,-73.8831438,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thai,7188998424,4,$$,11372
3625,restaurant,SONG E NAPULE,NA,NA,146 W HOUSTON ST,40.72813,-74.00188,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pizza,2125331242,4.5,$$,10012
3626,restaurant,SONG E NAPULE,NA,NA,146 W HOUSTON ST,40.7281543,-74.0019218,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wine Bars,2125331242,4,$$,10012
3627,restaurant,SONG SONG FOOD,NA,NA,16220 NORTHERN BLVD,40.7614,-73.80322,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,7185511431,4,$,11358
3628,restaurant,SONO UCHI SUSHI,NA,NA,381 LENOX AVE,40.8104436,-73.943642,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sushi Bars,2019840123,4,$$$$,10027
3629,restaurant,SONORA,NA,NA,174 HOWARD AVE,40.68242959,-73.91996691,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bars,7185748100,3.5,$$,11233
3630,restaurant,SOOGIL,NA,NA,108 E 4TH ST,40.72551,-73.98838,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korean,3472551437,4,$$$,10003
3631,restaurant,SOOGIL,NA,NA,108 E 4TH ST,40.72551,-73.98838,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japanese,3472551437,4.5,$$,10003
3632,restaurant,SOPHIE'S RESTAURANT(Entrance on 73 New Street),NA,NA,26 BROADWAY,40.710372,-73.96794,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pizza,2128097755,4.5,$$$,11249
3633,restaurant,SOPHIES CUBAN CUISINE,NA,NA,76 FULTON ST,40.708967,-74.005521,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cuban,2126086769,3.5,$$,10038
3634,restaurant,SORT OF WINE BAR,NA,NA,639 DRIGGS AVE,40.7151164,-73.9584747,Brooklyn,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wine Bars,3477213074,4.5,$$,11211
3635,restaurant,SOTTOCASA PIZZERIA,NA,NA,227 LENOX AVE,40.805587,-73.947547,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pizza,6469284870,4.5,$$,10027
3636,restaurant,SOUEN,NA,NA,326 E 6TH ST,40.72667,-73.98738,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,Izakaya,2123881155,4,$$,10003
